Name,Party,Handle
Eoin Ó Broin,SF,EOBroin
Caoimhghín Ó Caoláin,SF,None
Éamon Ó Cuív,FF,eamonocuiv
Seán Ó Fearghaíl,CC,SOFearghail_TD
Donnchadh Ó Laoghaire,SF,Donnchadhol
Aengus Ó Snodaigh,SF,aosnodaigh
Gerry Adams,SF,GerryAdamsSF
Bobby Aylward,FF,bobby_aylward
Maria Bailey,FG,MariaBaileyFG
Seán Barrett,FG,SeanBarrettTD
Mick Barry,AAA,MickBarryTD
Richard Boyd Barrett,PBP,RBoydBarrett
John Brady,SF,johnbradysf
John Brassil,FF,cllrjbrassil
Declan Breathnach,FF,breathnachlouth
Pat Breen,FG,PatBreen1
Colm Brophy,FG,brophytalks
Tommy Broughan,IND,TommyBroughanTD
James Browne,FF,JamesforWexford
Richard Bruton,FG,RichardBrutonTD
Pat Buckley,SF,None
Peter Burke,FG,peterburkefg
Joan Burton,LAB,JoanBurton
Mary Butler,FF,mary_butler_
Catherine Byrne,FG,None
Thomas Byrne,FF,ThomasByrneTD
Jackie Cahill,FF,jackiecahillff
Dara Calleary,FF,daracalleary
Seán Canney,IND,None
Ciarán Cannon,FG,ciarancannon
Joe Carey,FG,joecareytd
Pat Casey,FF,CllrPat
Shane Cassells,FF,shanecassells
Jack Chambers,FF,jackfchambers
Lisa Chambers,FF,lichamber
Joan Collins,ULP,JoanCollinsTD
Michael Collins,IND,None
Niall Collins,FF,niallcollinstd
Catherine Connolly,IND,None
Ruth Coppinger,AAA,RuthCoppingerTD
Marcella Corcoran Kennedy,FG,MarcellaCK
Simon Coveney,FG,simoncoveney
Barry Cowen,FF,cowenbarry
Michael Creed,FG,creedcnw
Seán Crowe,SF,SeanCroweTD
David Cullinane,SF,davidcullinane
John Curran,FF,curranjohna
Michael D'Arcy,FG,michaeldarcy
Clare Daly,ULP,claredalytd
Jim Daly,FG,jimdalytd
John Deasy,FG,4_johndeasytd
Pat Deering,FG,patdeeringfg
Pearse Doherty,SF,PearseDoherty
Regina Doherty,FG,ReginaDO
Stephen Donnelly,SD,DonnellyStephen
Paschal Donohoe,FG,Paschald
Timmy Dooley,FF,timmydooley
Andrew Doyle,FG,ADoyleTD
Bernard Durkan,FG,BernardDurkanTD
Dessie Ellis,SF,DessieEllisTD
Damien English,FG,damien_english
Alan Farrell,FG,AlanFarrell
Martin Ferris,SF,FerrisMartin
Frances Fitzgerald,FG,FitzgeraldFrncs
Michael Fitzmaurice,IND,None
Peter Fitzpatrick,FG,None
Charles Flanagan,FG,CharlieFlanagan
Seán Fleming,FF,None
Kathleen Funchion,SF,Kathleensf1
Pat Gallagher,FF,Pat_theCope
Noel Grealish,IND,None
Brendan Griffin,FG,BGriffinTD
John Halligan,IND,JohnHalligan
Simon Harris,FG,SimonHarrisTD
Michael Harty,IND,voteharty16
Seán Haughey,FF,sean_haughey
Séamus Healy,WUA,SeamusHealyTD
Danny Healy-Rae,IND,None
Michael Healy-Rae,IND,mhealyrae
Martin Heydon,FG,martinheydonfg
Brendan Howlin,LAB,None
Heather Humphreys,FG,HHumphreysFG
Paul Kehoe,FG,campaign4kehoe
Billy Kelleher,FF,billykellehertd
Alan Kelly,LAB,alankellylabour
Enda Kenny,FG,endakennytd
Gino Kenny,PBP,ginosocialist
Martin Kenny,SF,Martin_Kenny
Seán Kyne,FG,seankyneTD
John Lahart,FF,johnlahart
James Lawless,FF,lawlessj
Michael Lowry,IND,michael_lowry
Marc MacSharry,FF,MarcMacsharryTD
Josepha Madigan,FG,josephamadigan
Catherine Martin,GRN,cathmartingreen
Micheál Martin,FF,MichealMartinTD
Charlie McConalogue,FF,McConalogue
Mary Lou McDonald,SF,MaryLouMcDonald
Helen McEntee,FG,HMcEntee
Finian McGrath,IND,Finianmcgrathtd
Mattie McGrath,IND,mattiemcgrathtd
Michael McGrath,FF,DeputyMcGrathTD
John McGuinness,FF,JMcGuinnessTD
Joe McHugh,FG,joe_mchugh_td
Tony McLoughlin,FG,TonyMcLTD
Denise Mitchell,SF,DMitchellTD
Mary Mitchell O'Connor,FG,mitchelloconnor
Kevin  Moran,IND,None
Aindrias Moynihan,FF,None
Michael Moynihan,FF,mmoynihantd
Imelda Munster,SF,None
Catherine Murphy,SD,CathMurphyTD
Dara Murphy,FG,DaraMurphyFG
Eoghan Murphy,FG,MurphyEoghan
Eugene Murphy,FF,EugeneMurphyTD
Paul Murphy,AAA,paulmurphyaaa
Margaret Murphy O'Mahony,FF,mgtmurphymahony
Denis Naughten,IND,DenisNaughten
Hildegarde Naughton,FG,1Hildegarde
Tom Neville,FG,VoteTomNeville
Carol Nolan,SF,None
Michael Noonan,FG,None
Darragh O'Brien,FF,DarraghOBrienTD
Jonathan O'Brien,SF,JOBrien_SF
Jim O'Callaghan,FF,ocallaghanjim
Kate O'Connell,FG,campaignforkate
Willie O'Dea,FF,willieodealive
Patrick O'Donovan,FG,podonovan
Fergus O'Dowd,FG,Fergusodowd
Kevin O'Keeffe,FF,None
Fiona O'Loughlin,FF,fiona_kildare
Louise O'Reilly,SF,loreillysf
Frank O'Rourke,FF,None
Jan O'Sullivan,LAB,JanOSullivanTD
Maureen O'Sullivan,IND,MOSullivanTD
Willie Penrose,LAB,BrendanRyanTD
John Paul Phelan,FG,JPPhelan
Thomas Pringle,IND,ThomasPringleTD
Maurice Quinlivan,SF,QuinlivanTD
Anne Rabbitte,FF,AnneRabbitte
Michael Ring,FG,None
Noel Rock,FG,NoelRock
Shane Ross,IND,Shane_RossTD
Brendan  Ryan,LAB,BrendanRyanTD
Eamon Ryan,GRN,eamonryan
Eamon Scanlon,FF,EamonScanlonTD
Seán Sherlock,LAB,seansherlocktd
Róisín Shortall,SD,roisinshortall
Bríd Smith,PBP,bridsmith
Brendan Smith,FF,BrendanSmithTD
Niamh Smyth,FF,NiamhSmythTD
Brian Stanley,SF,BrianStanleyTD
David Stanton,FG,davidstantontd
Peadar Tóibín,SF,Toibin1
Robert Troy,FF,RobertTroyTD
Leo Varadkar,FG,campaignforleo
Mick Wallace,IND,wallacemick
Katherine Zappone,IND,KZapponeTD
